"parameter","fraction","units","seg_id","site_id","sample_id","replicate","date","info_type","result_type","data_provider","depth","sample_method","method_speciation","value","quantitation_limit","validator_qualifiers","interpreted_qualifiers"
"ammonia","total","ug/l","0502-9999","0502UWB5192_DH","0502UWB5192_DH_20180806T150000","1",2018-08-06,"dp","lab","NYSDEC",NA,"probe/sensor","as n",0,NA,"0","Data not flagged (quality control not applicable or historic data)
"
"ammonia","total","ug/l","1306-9999","1306UWB0464B_C","1306UWB0464B_C_20180715T000000","1",2018-07-14,"ow","lab","Citizens Statewide Lake Assessment Program (CSLAP)",NA,"kemmerer","as n",232,30,"0","Data not flagged (quality control not applicable or historic data)
"
"ammonia","total","ug/l","1302-9999","1302UWB0044H_C","1302UWB0044H_C_20170618T092500","1",2017-06-18,"ow","lab","Citizens Statewide Lake Assessment Program (CSLAP)",NA,"kemmerer","as n",2.5,21,"0","Data not flagged (quality control not applicable or historic data)
"
"ammonia","total","ug/l","0503-9999","0503TANXXX1_C","0503TANXXX1_C_20230618T114000","1",2023-06-18,"ow","lab","Citizens Statewide Lake Assessment Program (CSLAP)",NA,"kemmerer","as n",16,0.03,"0","Data not flagged (quality control not applicable or historic data)
"
"ammonia","total","ug/l","1306-9999","1306GLE0668_DH","1306GLE0668_DH_20130911T172354","1",2013-09-11,"dp","lab","NYSDEC",NA,"probe/sensor","as n",0,NA,"0","Data not flagged (quality control not applicable or historic data)
"
"ammonia","total","ug/l","1302-9999","1302UWB0044H_C","1302UWB0044H_C_20140615T094300","1",2014-06-15,"ow","lab","Citizens Statewide Lake Assessment Program (CSLAP)",NA,"kemmerer","as n",200,NA,"0","Data not flagged (quality control not applicable or historic data)
"
"ammonia","total","ug/l","1702-9999","1702WIL1063A_DH","1702WIL1063A_DH_20180725T121722","1",2018-07-25,"ow","lab","NYSDEC",NA,"vinyl_tube","as n",15.4,0.005,"A","Accepted"
"ammonia","total","ug/l","0906-9999","0906GRA0051_C","0906GRA0051_C_20170916T093000","1",2017-09-16,"ow","lab","Citizens Statewide Lake Assessment Program (CSLAP)",NA,"kemmerer","as n",52,21,"0","Data not flagged (quality control not applicable or historic data)
"
"ammonia","total","ug/l","0503-9999","0503TANXXX1_C","0503TANXXX1_C_20210712T141000","1",2021-07-12,"ow","lab","Citizens Statewide Lake Assessment Program (CSLAP)",NA,"kemmerer","as n",0,0.03,"A","Accepted"
"ammonia","total","ug/l","0303-9999","0303LOR0009_C","0303LOR0009_C_20200626T110500","1",2020-06-26,"ow","lab","Citizens Statewide Lake Assessment Program (CSLAP)",NA,"kemmerer","as n",11.9,0.03,"J","Estimated concentration - still suitable for most data uses"
"ammonia","total","ug/l","1302-9999","1302UWB0044H_C","1302UWB0044H_C_20220814T093000","1",2022-08-14,"ow","lab","Citizens Statewide Lake Assessment Program (CSLAP)",NA,"kemmerer","as n",67.851,0.03,"0","Data not flagged (quality control not applicable or historic data)
"
"ammonia","total","ug/l","0303-9999","0303LOR0009_C","0303LOR0009_C_20220610T094500","1",2022-06-10,"ow","lab","Citizens Statewide Lake Assessment Program (CSLAP)",NA,"kemmerer","as n",25.908,0.03,"0","Data not flagged (quality control not applicable or historic data)
"
"ammonia","total","ug/l","0602-9999","0602BAL5648_DH","0602BAL5648_DH_20140819T131110","1",2014-08-19,"dp","lab","NYSDEC",NA,"probe/sensor","as n",0,NA,"0","Data not flagged (quality control not applicable or historic data)
"
"ammonia","total","ug/l","1601-9999","1601UWB6647_DH","1601UWB6647_DH_20220829T131700","1",2022-08-29,"ow","lab","NYSDEC",NA,"grab","as n",0,0.01,"U","Non-detect"
"ammonia","total","ug/l","1301-9999","1301BUC0303_C","1301BUC0303_C_20230909T101500","1",2023-09-09,"ow","lab","Citizens Statewide Lake Assessment Program (CSLAP)",NA,"kemmerer","as n",56.025,0.03,"0","Data not flagged (quality control not applicable or historic data)
"
"ammonia","total","ug/l","0102-9999","0102UWB5214_C","0102UWB5214_C_20230708T090000","1",2023-07-08,"ow","lab","Citizens Statewide Lake Assessment Program (CSLAP)",NA,"kemmerer","as n",48.313,0.03,"0","Data not flagged (quality control not applicable or historic data)
"
