"WATERBODY_CODE","WATERBODY_NAME","WATERBODY_CLASS","PUBLIC_WATER_SUPPLY","LATITUDE","LONGITUDE"
"1701UWB0953A","Unnamed Water","unknown","FALSE",40.6889,-73.347198
"1103UWB0073A","Unnamed Water","unknown","FALSE",43.1092,-73.475197
"1301UWB5465","Unnamed Water","unknown","FALSE",41.536301,-74.099602
"1304UWB5242","Unnamed Water","unknown","FALSE",41.5009,-73.819298
"1104WIL0215","Willis Lake","unknown","FALSE",43.369099,-74.241699
"0601UWBXXX2","Unnamed Water","unknown","FALSE",42.740752,-74.888427
"1701UWBXXX4","Unnamed Water","unknown","FALSE",41.04697819,-72.17158578
"1306UWBXXX3","Unnamed Waterbody (Gardiner)","unknown","FALSE",41.71967454,-74.17502191
"0601UWBXX1","Unnamed Water","unknown","FALSE",42.78662377,-75.28808014
"0103GREXXX1","Green Heron Pond","unknown","FALSE",42.88899732,-78.71899315
"0603UWB5039","Unnamed Water","unknown","FALSE",42.13930593,-76.32954713
"0103UWB5343","Lake Kristy (Tifft Nature Preserve)","unknown","FALSE",42.847099,-78.859001
"1308UWBXXX1","Unnamed Water (Gallatin)","unknown","FALSE",42.09197283,-73.76274319
"1005KITXXX1","Unnamed Water","unknown","FALSE",43.37150514,-73.38387926
"0103WESXXX1","Unnamed Water","unknown","FALSE",42.90383232,-78.61735822
"1301UWBXXX2","Unnamed Water","unknown","FALSE",41.31958171,-73.98980827
"0601UWB0365","Unnamed Water","unknown","FALSE",42.555401,-74.942802
"1003COP0139","Copperas Pond","unknown","FALSE",44.313999,-74.376198
"1301TIV0309","Tivoli Lake","unknown","FALSE",42.670299,-73.761498
"0801UWB0692","Long Lake","unknown","FALSE",43.694,-75.2827
"1101UWBXXX1","Unnamed Water","unknown","FALSE",43.17097669,-73.65172558
"1101UPP0121A","Upper Reservoir","unknown","FALSE",43.2504,-73.866798
"0302WILXXX1","Unnamed Water","unknown","FALSE",42.95609403,-77.52597827
"1301PALXXX1","Unnamed Water","unknown","FALSE",42.13737489,-73.88454557
"1702JERXXX1","Jerome X O'donovan Pond","unknown","FALSE",40.59806697,-74.10329005
"1301UWB5069","Unnamed Water","unknown","FALSE",41.111099,-73.925598
"0705UWBXXX2","Unnamed Waterbody (Ithaca)","unknown","FALSE",42.46054806,-76.50876376
"0603NAN5368","Nanticoke Lake","unknown","FALSE",42.335098,-76.093102
"0704WIN5669","Windward Lake","unknown","FALSE",43.126499,-77.318398
"0601UWBXXX3","Unnamed Water","unknown","FALSE",42.34279905,-75.45714421
"1310UWBXXX2","Unnamed Waterbody (Chatham)","unknown","FALSE",42.43691084,-73.59913197
"1701UWB0986B","Unnamed Water","unknown","FALSE",40.709702,-73.550598
"1301UWB0147","Unnamed Water","unknown","FALSE",41.22025,-74.02431
"1701DON0565A","Donahues Pond","unknown","FALSE",40.898102,-72.779098
"0103KNOXXX1","Knox Farm Pond 3","unknown","FALSE",42.768771,-78.64171
"0103UWB5320","Unnamed Water","unknown","FALSE",42.769501,-78.638397
"0103UWB5338","Unnamed Water","unknown","FALSE",42.830502,-78.831902
"1304UWBXXX1","Unnamed Water (La Grange)","unknown","FALSE",41.689277,-73.810358
"0103KNOXXX2","Knox Farm Pond 4","unknown","FALSE",42.77487,-78.654596
"0103UWB5321","Unnamed Water","unknown","FALSE",42.771999,-78.641296
"0102HAR5128","Harlow Lake","unknown","FALSE",42.905201,-78.430702
"0202UWB5581","Wiltse Marsh Point Pond","unknown","FALSE",42.087299,-79.5261
"0202LEOXXX1","Leo Morgan Wildlife Pond","unknown","FALSE",42.086201,-79.5447
"0201SCI0090B","Science Lake","unknown","FALSE",42.011101,-78.766197
"0303GRE5364","Greenwood Lake","unknown","FALSE",43.910099,-76.120697
